State_FIPS_Code,County_FIPS_Code,County_Name,State_Name,State_Abbr,Lat,Long,Population_Size,Population_Density,PopInPoverty,PercentPopInPoverty,White_Pop,PercentWhitePop,Black_Pop,PercentBlackPop,Native_American_Pop,PercentNative_AmericanPop,AsianPop,PercentAsianPop,HispanicPop,PercentHispanicPop,ObesityPop,PercentObesityPop
01,001,Autauga,Alabama,AL,32.6793,-86.4529,48612,82,5055.648,0.104,39229.884,0.807,8409.876,0.173,243.06,0.005,291.672,0.006,826.404,0.017,11909.94,0.245
01,003,Baldwin,Alabama,AL,31.1568,-87.432,162586,102,16583.772,0.102,143726.024,0.884,16096.014,0.099,812.93,0.005,650.344,0.004,3739.478,0.023,38370.296,0.236
01,005,Barbour,Alabama,AL,32.0329,-85.1505,28414,32,6279.494,0.221,14832.108,0.522,13297.752,0.468,113.656,0.004,85.242,0.003,880.834,0.031,7273.984,0.256
01,007,Bibb,Alabama,AL,33.2194,-86.9108,21516,35,3614.688,0.168,16524.288,0.768,4841.1,0.225,64.548,0.003,21.516,0.001,301.224,0.014,NA,NA
01,009,Blount,Alabama,AL,34.2045,-86.3897,55725,86,6631.275,0.119,54108.975,0.971,835.875,0.015,278.625,0.005,111.45,0.002,3510.675,0.063,13485.45,0.242
01,011,Bullock,Alabama,AL,32.2463,-85.5244,11055,18,2896.41,0.262,3073.29,0.278,7893.27,0.714,44.22,0.004,22.11,0.002,652.245,0.059,NA,NA
01,013,Butler,Alabama,AL,31.8624,-86.6379,20766,27,4153.2,0.2,11940.45,0.575,8700.954,0.419,41.532,0.002,62.298,0.003,186.894,0.009,4568.52,0.22
01,015,Calhoun,Alabama,AL,33.9267,-85.6157,112141,184,18391.124,0.164,87806.403,0.783,22091.777,0.197,448.564,0.004,897.128,0.008,2242.82,0.02,30278.07,0.27
01,017,Chambers,Alabama,AL,33.0926,-85.1792,35460,59,5744.52,0.162,21559.68,0.608,13687.56,0.386,35.46,0.001,70.92,0.002,425.52,0.012,NA,NA
01,019,Cherokee,Alabama,AL,34.3657,-85.4619,24522,44,3727.344,0.152,22879.026,0.933,1348.71,0.055,73.566,0.003,73.566,0.003,269.742,0.011,NA,NA
01,021,Chilton,Alabama,AL,32.9696,-86.4789,41744,60,6219.856,0.149,36859.952,0.883,4383.12,0.105,125.232,0.003,166.976,0.004,1544.528,0.037,13024.128,0.312
01,023,Choctaw,Alabama,AL,32.2288,-88.0494,14807,16,2768.909,0.187,8247.499,0.557,6500.273,0.439,14.807,0.001,14.807,0.001,118.456,0.008,NA,NA
01,025,Clarke,Alabama,AL,31.9235,-87.7108,27269,22,5235.648,0.192,15216.102,0.558,11916.553,0.437,54.538,0.002,54.538,0.002,190.883,0.007,NA,NA
01,027,Clay,Alabama,AL,33.447,-85.6725,13964,23,1954.96,0.14,11757.688,0.842,2094.6,0.15,41.892,0.003,13.964,0.001,293.244,0.021,NA,NA
01,029,Cleburne,Alabama,AL,33.9298,-85.339,14460,26,2024.4,0.14,13780.38,0.953,549.48,0.038,43.38,0.003,28.92,0.002,260.28,0.018,NA,NA
01,031,Coffee,Alabama,AL,31.4172,-85.8459,45567,67,6242.679,0.137,35496.693,0.779,8429.895,0.185,410.103,0.009,546.804,0.012,1458.144,0.032,11619.585,0.255
