State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Lat,Long,Population_Size,Population_Density,Pop In Poverty,Pop In Poverty %,White Pop,White Pop%,Black Pop,Black Pop%,Native_American Pop,Native_American Pop%,Asian Pop,Asian Pop %,Hispanic Pop,Hispanic Pop%,Obesity Pop,Obesity Pop %
01,001,Autauga,Alabama,AL,32.6793,-86.4529,48612,82,5056,10.4%,39230,80.7%,8410,17.3%,243,0.5%,292,0.6%,826,1.7%,11910,24.5%
01,003,Baldwin,Alabama,AL,31.1568,-87.432,162586,102,16584,10.2%,143726,88.4%,16096,9.9%,813,0.5%,650,0.4%,3739,2.3%,38370,23.6%
01,005,Barbour,Alabama,AL,32.0329,-85.1505,28414,32,6279,22.1%,14832,52.2%,13298,46.8%,114,0.4%,85,0.3%,881,3.1%,7274,25.6%
01,007,Bibb,Alabama,AL,33.2194,-86.9108,21516,35,3615,16.8%,16524,76.8%,4841,22.5%,65,0.3%,22,0.1%,301,1.4%,NA,NA
01,009,Blount,Alabama,AL,34.2045,-86.3897,55725,86,6631,11.9%,54109,97.1%,836,1.5%,279,0.5%,111,0.2%,3511,6.3%,13485,24.2%
01,011,Bullock,Alabama,AL,32.2463,-85.5244,11055,18,2896,26.2%,3073,27.8%,7893,71.4%,44,0.4%,22,0.2%,652,5.9%,NA,NA
01,013,Butler,Alabama,AL,31.8624,-86.6379,20766,27,4153,20.0%,11940,57.5%,8701,41.9%,42,0.2%,62,0.3%,187,0.9%,4569,22.0%
01,015,Calhoun,Alabama,AL,33.9267,-85.6157,112141,184,18391,16.4%,87806,78.3%,22092,19.7%,449,0.4%,897,0.8%,2243,2.0%,30278,27.0%
01,017,Chambers,Alabama,AL,33.0926,-85.1792,35460,59,5745,16.2%,21560,60.8%,13688,38.6%,35,0.1%,71,0.2%,426,1.2%,NA,NA
01,019,Cherokee,Alabama,AL,34.3657,-85.4619,24522,44,3727,15.2%,22879,93.3%,1349,5.5%,74,0.3%,74,0.3%,270,1.1%,NA,NA
01,021,Chilton,Alabama,AL,32.9696,-86.4789,41744,60,6220,14.9%,36860,88.3%,4383,10.5%,125,0.3%,167,0.4%,1545,3.7%,13024,31.2%
01,023,Choctaw,Alabama,AL,32.2288,-88.0494,14807,16,2769,18.7%,8247,55.7%,6500,43.9%,15,0.1%,15,0.1%,118,0.8%,NA,NA
01,025,Clarke,Alabama,AL,31.9235,-87.7108,27269,22,5236,19.2%,15216,55.8%,11917,43.7%,55,0.2%,55,0.2%,191,0.7%,NA,NA
01,027,Clay,Alabama,AL,33.447,-85.6725,13964,23,1955,14.0%,11758,84.2%,2095,15.0%,42,0.3%,14,0.1%,293,2.1%,NA,NA
01,029,Cleburne,Alabama,AL,33.9298,-85.339,14460,26,2024,14.0%,13780,95.3%,549,3.8%,43,0.3%,29,0.2%,260,1.8%,NA,NA
01,031,Coffee,Alabama,AL,31.4172,-85.8459,45567,67,6243,13.7%,35497,77.9%,8430,18.5%,410,0.9%,547,1.2%,1458,3.2%,11620,25.5%
01,033,Colbert,Alabama,AL,34.7577,-87.5291,54660,92,7652,14.0%,44767,81.9%,9128,16.7%,219,0.4%,164,0.3%,711,1.3%,16453,30.1%
01,035,Conecuh,Alabama,AL,31.5535,-86.7711,13257,16,2917,22.0%,7331,55.3%,5846,44.1%,27,0.2%,13,0.1%,119,0.9%,NA,NA
01,037,Coosa,Alabama,AL,33.0725,-86.035,11162,17,1496,13.4%,7546,67.6%,3527,31.6%,33,0.3%,11,0.1%,167,1.5%,NA,NA
01,039,Covington,Alabama,AL,31.4818,-86.257,37003,36,6476,17.5%,31860,86.1%,4662,12.6%,185,0.5%,111,0.3%,333,0.9%,11175,30.2%
01,041,Crenshaw,Alabama,AL,31.9535,-86.173,13727,23,2416,17.6%,10240,74.6%,3377,24.6%,55,0.4%,14,0.1%,110,0.8%,NA,NA
01,043,Cullman,Alabama,AL,34.2982,-86.5506,79886,108,10625,13.3%,77729,97.3%,959,1.2%,320,0.4%,240,0.3%,2476,3.1%,17735,22.2%
01,045,Dale,Alabama,AL,31.6085,-85.4299,48748,87,7702,15.8%,36805,75.5%,10188,20.9%,244,0.5%,634,1.3%,1560,3.2%,12187,25.0%
01,047,Dallas,Alabama,AL,32.6568,-86.8797,44366,45,11092,25.0%,14375,32.4%,29681,66.9%,44,0.1%,133,0.3%,266,0.6%,16238,36.6%
01,049,DeKalb,Alabama,AL,34.7022,-85.5842,67271,86,10158,15.1%,64580,96.0%,1211,1.8%,538,0.8%,202,0.3%,5920,8.8%,16347,24.3%
01,051,Elmore,Alabama,AL,32.6851,-85.8912,73937,119,9242,12.5%,57153,77.3%,15305,20.7%,296,0.4%,370,0.5%,1257,1.7%,18336,24.8%
01,053,Escambia,Alabama,AL,31.2202,-86.7194,38082,40,7083,18.6%,24487,64.3%,12072,31.7%,1104,2.9%,114,0.3%,381,1.0%,12834,33.7%
01,055,Etowah,Alabama,AL,34.1749,-85.7853,103189,193,16201,15.7%,86472,83.8%,15066,14.6%,310,0.3%,516,0.5%,2477,2.4%,27964,27.1%
01,057,Fayette,Alabama,AL,33.8945,-87.6079,18228,29,2935,16.1%,15931,87.4%,2151,11.8%,36,0.2%,55,0.3%,164,0.9%,5961,32.7%
01,059,Franklin,Alabama,AL,34.542,-87.7062,30737,48,5348,17.4%,28924,94.1%,1291,4.2%,123,0.4%,184,0.6%,3289,10.7%,NA,NA
01,061,Geneva,Alabama,AL,31.1816,-85.521,25735,45,4529,17.6%,22595,87.8%,2779,10.8%,180,0.7%,51,0.2%,515,2.0%,8879,34.5%
01,063,Greene,Alabama,AL,32.9938,-87.7906,9661,15,2406,24.9%,1923,19.9%,7700,79.7%,10,0.1%,19,0.2%,68,0.7%,NA,NA
01,065,Hale,Alabama,AL,32.997,-87.5331,18316,28,3773,20.6%,7381,40.3%,10843,59.2%,18,0.1%,37,0.2%,165,0.9%,NA,NA
01,067,Henry,Alabama,AL,31.5702,-85.1013,16610,30,2707,16.3%,11228,67.6%,5265,31.7%,33,0.2%,0,0.0%,349,2.1%,NA,NA
01,069,Houston,Alabama,AL,31.2968,-85.0863,94249,162,14420,15.3%,68048,72.2%,24410,25.9%,377,0.4%,660,0.7%,1508,1.6%,27803,29.5%
01,071,Jackson,Alabama,AL,34.9737,-85.6711,53650,50,7779,14.5%,49680,92.6%,2039,3.8%,858,1.6%,161,0.3%,858,1.6%,15773,29.4%
01,073,Jefferson,Alabama,AL,33.8195,-86.5066,657229,591,94641,14.4%,373306,56.8%,270778,41.2%,1314,0.2%,7230,1.1%,15116,2.3%,178109,27.1%
01,075,Lamar,Alabama,AL,34.0274,-87.9861,14962,25,2409,16.1%,13182,88.1%,1706,11.4%,30,0.2%,15,0.1%,224,1.5%,NA,NA
01,077,Lauderdale,Alabama,AL,34.9652,-87.2716,87691,131,13680,15.6%,77957,88.9%,8506,9.7%,263,0.3%,351,0.4%,1052,1.2%,20870,23.8%
01,079,Lawrence,Alabama,AL,34.6788,-87.1837,34605,50,4983,14.4%,27511,79.5%,4187,12.1%,1869,5.4%,35,0.1%,484,1.4%,6886,19.9%
01,081,Lee,Alabama,AL,32.6621,-85.096,123254,202,18611,15.1%,91331,74.1%,28348,23.0%,247,0.2%,2219,1.8%,1972,1.6%,26746,21.7%
01,083,Limestone,Alabama,AL,34.9877,-86.8373,70469,124,8315,11.8%,59969,85.1%,9302,13.2%,352,0.5%,352,0.5%,2325,3.3%,18322,26.0%
01,085,Lowndes,Alabama,AL,32.3285,-86.4858,13076,18,3047,23.3%,3648,27.9%,9375,71.7%,13,0.1%,13,0.1%,105,0.8%,NA,NA
01,087,Macon,Alabama,AL,32.5569,-85.4452,22810,37,5885,25.8%,3581,15.7%,18887,82.8%,23,0.1%,205,0.9%,228,1.0%,NA,NA
01,089,Madison,Alabama,AL,34.9618,-86.3768,298192,370,32503,10.9%,213804,71.7%,70075,23.5%,2386,0.8%,6262,2.1%,6560,2.2%,68882,23.1%
01,091,Marengo,Alabama,AL,32.498,-87.5938,21879,22,4398,20.1%,10305,47.1%,11421,52.2%,22,0.1%,66,0.3%,394,1.8%,NA,NA
01,093,Marion,Alabama,AL,34.2693,-87.7164,30154,41,5066,16.8%,28646,95.0%,1176,3.9%,90,0.3%,60,0.2%,452,1.5%,9318,30.9%
01,095,Marshall,Alabama,AL,34.519,-86.1529,85634,151,13016,15.2%,82722,96.6%,1370,1.6%,428,0.5%,343,0.4%,7279,8.5%,23549,27.5%
01,097,Mobile,Alabama,AL,31.1543,-88.0101,401427,326,74264,18.5%,249688,62.2%,138492,34.5%,2810,0.7%,6423,1.6%,5219,1.3%,106780,26.6%
01,099,Monroe,Alabama,AL,31.8265,-87.209,23733,23,4201,17.7%,13528,57.0%,9731,41.0%,237,1.0%,71,0.3%,190,0.8%,NA,NA
01,101,Montgomery,Alabama,AL,32.3957,-86.0086,221619,281,39891,18.0%,99950,45.1%,116350,52.5%,443,0.2%,2659,1.2%,3103,1.4%,52967,23.9%
01,103,Morgan,Alabama,AL,34.6004,-86.5697,113740,195,15014,13.2%,97475,85.7%,13421,11.8%,796,0.7%,796,0.7%,5232,4.6%,25592,22.5%
01,105,Perry,Alabama,AL,32.7582,-87.1797,11371,16,3252,28.6%,3411,30.0%,7914,69.6%,11,0.1%,11,0.1%,102,0.9%,NA,NA
01,107,Pickens,Alabama,AL,33.4141,-87.904,20178,23,3894,19.3%,11542,57.2%,8555,42.4%,20,0.1%,20,0.1%,161,0.8%,NA,NA
01,109,Pike,Alabama,AL,31.9588,-85.8177,29639,44,6017,20.3%,17843,60.2%,10907,36.8%,178,0.6%,296,1.0%,474,1.6%,8625,29.1%
01,111,Randolph,Alabama,AL,33.4552,-85.2861,22717,39,3567,15.7%,17447,76.8%,5020,22.1%,68,0.3%,91,0.4%,295,1.3%,NA,NA
01,113,Russell,Alabama,AL,32.4609,-85.0216,49326,77,9175,18.6%,27672,56.1%,20766,42.1%,148,0.3%,296,0.6%,1036,2.1%,14255,28.9%
01,117,Shelby,Alabama,AL,33.4601,-86.4087,171465,216,11831,6.9%,151232,88.2%,16118,9.4%,514,0.3%,2401,1.4%,5315,3.1%,35665,20.8%
01,115,St. Clair,Alabama,AL,33.937,-86.1384,72330,114,9475,13.1%,65314,90.3%,5931,8.2%,289,0.4%,217,0.3%,940,1.3%,19963,27.6%
01,119,Sumter,Alabama,AL,32.9477,-88.1269,13819,15,3648,26.4%,3441,24.9%,10323,74.7%,14,0.1%,14,0.1%,193,1.4%,NA,NA
01,121,Talladega,Alabama,AL,33.5935,-85.9364,80457,109,13517,16.8%,54308,67.5%,25263,31.4%,161,0.2%,322,0.4%,885,1.1%,26309,32.7%
01,123,Tallapoosa,Alabama,AL,33.0842,-85.6371,40717,57,6515,16.0%,29683,72.9%,10709,26.3%,81,0.2%,81,0.2%,366,0.9%,9446,23.2%
01,125,Tuscaloosa,Alabama,AL,33.4487,-87.1257,168908,128,27870,16.5%,114351,67.7%,50841,30.1%,338,0.2%,1858,1.1%,2703,1.6%,42734,25.3%
01,127,Walker,Alabama,AL,33.9873,-87.0483,70117,88,10377,14.8%,64858,92.5%,4487,6.4%,210,0.3%,140,0.2%,841,1.2%,21386,30.5%
01,129,Washington,Alabama,AL,31.6465,-87.969,17773,16,3004,16.9%,11730,66.0%,4692,26.4%,1191,6.7%,18,0.1%,160,0.9%,NA,NA
01,131,Wilcox,Alabama,AL,32.2321,-86.9891,12937,15,3609,27.9%,3506,27.1%,9392,72.6%,13,0.1%,13,0.1%,103,0.8%,NA,NA
01,133,Winston,Alabama,AL,34.2804,-87.1765,24498,40,4140,16.9%,24082,98.3%,147,0.6%,98,0.4%,24,0.1%,465,1.9%,6859,28.0%
02,013,Aleutians East,Alaska,AK,55.9886,-160.4834,2713,0,317,11.7%,906,33.4%,52,1.9%,803,29.6%,909,33.5%,402,14.8%,NA,NA
02,016,Aleutians West,Alaska,AK,57.1815,178.8775,5382,1,393,7.3%,2621,48.7%,205,3.8%,1006,18.7%,1442,26.8%,646,12.0%,NA,NA
02,020,Anchorage,Alaska,AK,61.3889,-149.1091,275043,162,23929,8.7%,198031,72.0%,17053,6.2%,23379,8.5%,21178,7.7%,17603,6.4%,NA,NA
02,050,Bethel,Alaska,AK,61.8439,-155.3182,17127,0,3580,20.9%,2295,13.4%,103,0.6%,14044,82.0%,223,1.3%,188,1.1%,NA,NA
